"Account Number","Številka računa"
"Enable","Omogoči"
"Enable IP anonymization","Omogoči anonimnost IP-ja"
"Google API","Google API"
"Google Analytics","Google Analytics"
"Type","Tip"
"Universal Analytics","Universal Analytics"
