"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Globalmail business"
"Ground","Po tleh"
"Ground Commercial","Po tleh za podjetja"
"Ground Residential","Po tleh za osebne nakupe"
"Handling Applied","Obdelava uporabljena"
"Handling Fee","Taksa za stroške obdelave"
"Height","Višina"
"Height, width and length should be equal or greater than %s","Višina, širina in dolžina morajo biti enake ali večje od %s"
"Home Delivery","Dostava na dom"
"Hub ID","ID središča"
"Inches","Palci"
"Indirect","Posredno"
"International Economy","Mednarodno ekonomsko"
"International Express","Mednarodno hitro"
"International First","Mednarodno prvi razred"
"International Ground","Mednarodno po tleh"
"International Priority","Mednarodno prioritetno"
"International Shipment Days","Dnevi mednarodne pošiljke"
"Intl Economy Freight","Mednarodni ekonomični tovor"
"Intl Priority Freight","Mednarodni prioritetni tovor"
"Jetline","Letalsko"
"Jumbo box","Jumbo box"
"Key","Ključ"
"Kilograms","Kilogrami"
"Large","Veliko"
"Large Express Box","Velika škatla hitro"
"Length","Dolžina"
"Letter","Pismo"
"Library Mail Parcel","Paket po pošti za knjižnice"
"Live","V živo"
"Machinable","Strojno"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Največja višina paketa (posvetujte se z vašim prevoznikom pošiljk za največjo podprto težo dostave)"
"Media Mail Parcel","Paket Media Mail"
"Medical express","Medical express"
"Medium Express Box","Paket Medium Express"
"Merchandise","Blago"
"Meter Number","Številka števca"
"Minimum Order Amount for Free Shipping","Najmanjši znesek naročila za brezplačno dostavo"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Najmanjša teža paketa (posvetujte se z vašim prevoznikom pošiljk za najmanjšo podrprto težo dostave)"
"Mode","Način"
"National Freight","Tovor znotraj države"
"Next Afternoon","Naslednje popoldne"
"Next Day Air","Po zraku naslednji dan"
"Next Day Air Early AM","Po zraku naslednji dan dopoldan"
"Next Day Air Early AM Letter","Pismo po zraku naslednji dan zgodaj dopoldan"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Ne"
"No packages for request","Za zahtevek ni paketov"
"Non Documents","Niso dokumenti"
"Non documents","Niso dokumenti"
"Non-rectangular","Ni pravokotno"
"None","Brez"
"Not Required","Ni zahtevano"
"Order","Naročilo"
"Order #%s","Naročilo #%s"
"Origin of the Shipment","Izvor pošiljke"
"Origin serviceAreaCode is missing","Manjka izvor serviceAreaCode"
"Other","Drug"
"Others","Drugi"
"PAK","PAK"
"Package","Paket"
"Package Description","Opis paketa"
"Package content is missing","Manjka vsebina paketa"
"Packages Request Type","Tip zahtevka paketov"
"Packaging","Pakiranje"
"Pallet","Paleta"
"Parcel","Paket"
"Password","Geslo"
"Pickup Method","Način dostavnega vozila"
"Piece Id barcode is missing","Manjka črtna koda ID kosa"
"Piece number information is missing","Manjka informacija številke kosa"
"Please make sure to use only digits here. No dashes are allowed.","Preverite, da tu uporabljate samo številke. Pomišljaji niso dovoljeni."
"Please, specify origin country","Določite državo izvora."
"Pounds","Funti"
"Priority Mail","Priority Mail"
"Priority Mail Express","Priority Mail Express"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate Envelope"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate Envelope Hold For Pickup"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate Envelope"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate Envelope Hold For Pickup"
"Priority Mail Hold For Pickup","Priority Mail Hold For Pickup"
"Priority Mail International","Priority Mail International"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate Envelope"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate Envelope"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box"
"Priority Mail International Large Video Flat Rate priced box","Priority Mail International Large Video Flat Rate priced box"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate Envelope"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate Envelope"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate Envelope"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate Envelope"
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box Hold For Pickup"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate Envelope"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Medium Flat Rate Box","Priority Mail Medium Flat Rate Box"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box Hold For Pickup"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate Envelope"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Regional Rate Box A","Priority Mail Regional Rate Box A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A Hold For Pickup"
"Priority Mail Regional Rate Box B","Priority Mail Regional Rate Box B"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B Hold For Pickup"
"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C Hold For Pickup"
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box Hold For Pickup"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate Envelope"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate Envelope Hold For Pickup"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate Envelope"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate Envelope Hold For Pickup"
"Priority Overnight","Čez noč prioritetno"
"Product content code is invalid","Koda vsebine produkta ni veljavna"
"Product name is missing","Manjka ime produkta"
"Receiver","Prejemnik"
"Rectangular","Pravokotno"
"Reference code is missing","Manjka referenčna koda"
"Regular","Običajno"
"Regular Pickup","Običajno dostavno vozilo"
"Request Courier","Kurirska služba zahteka"
"Required","Zahtevano"
"Required for negotiated rates; 6-character UPS.","Zahtevano za stopnje po dogovoru; 6 znakov UPS."
"Residential","Zasebno"
"Residential Delivery","Zasebna dostava"
"Response is in the wrong format","Odziv je napačnega formata"
"Retail Ground","Po tleh za maloprodajo"
"Return","Vrnitev"
"Round","Zaokrožitev"
"Routing barcode is missing","Manjka črtna koda usmeritve"
"Same day","Isti dan"
"Sample","Vzorec"
"Sandbox Mode","Način nadzorovanega okolja za preizkušanje"
"Second Day Service","Second Day Service"
"Secure Gateway URL","Zaščiten gateway URL"
"Secureline","Secureline"
"Sender","Pošiljatelj"
"Sender city info is missing","Manjka informacija o mestu pošiljatelja"
"Sender contact name is missing","Manjka kontaktno ime pošijatelja"
"Sender country info is missing","Manjka informacija o državi pošiljatelja"
"Service type does not match","Tip storitve se ne ujema"
"Ship to Applicable Countries","Pošljite na države v uporabi"
"Ship to Specific Countries","Dostavite na posebne države"
"Shipment Contains Hazardous Materials","Pošiljka vsebuje nevarne materiale"
"Shipment Dutiable","Pošiljka obdavčljiva"
"Shipment Duty Payment Type","Tip plačila dajatev pošiljke"
"Shipment Type","Tip pošiljke"
"Shipment is not available.","Pošiljka ni na voljo."
