"System","Sistem"
"Text Area","Tekstovno področje"
"Text Field","Tekstovno polje"
"The value of attribute ""%s"" must be unique","Vrednost atributa ""%s"" mora biti unikatna"
"The value of attribute ""%s"" must be unique.","Vrednost atributa ""%s"" mora biti unikatna."
"This attribute is used in configurable products","Ta atribut je uporabljen v nastavljivih produktih"
"URL","URL"
"Unique Value","Unikatna vrednost"
"Unique Value (not shared with other products)","Unikatna vrednost (ni deljena z ostalimi produkti)"
"Unknown parameter","Neznani parameter"
"Values Required","Zahtevane vrednosti"
"Wrong attribute group ID","Napačen atribut ID skupine"
"Wrong attribute set ID","Napačen ID nabora atributov"
"Wrong entity ID","Napačen ID entitete"
"Wrong type definition for %s","Napačna definicija tipa za %s"
"Yes","Da"
"Yes/No","Da/Ne"
