"...","..."
"Browse Files...","Brskanje datotek ..."
"Complete","Zaključi"
"Maximum allowed file size for upload is","Največja dovoljena velikost datoteke za nalaganje je"
"Please check your server PHP settings.","Preverite PHP nastavitve vašega strežnika."
"Remove","Odstrani"
"There are files that were selected but not uploaded yet. After switching to another tab your selections will be lost. Do you wish to continue ?","Obstajajo datoteke, ki so bile izbrane, vendar še niso naložene. Po preklopu na drug zavihek bo vaša izbira izgubljena. Ali želite nadaljevati?"
"Upload Files","Naloži datoteke"
"Uploading...","Nalaganje..."
